generation,best_score,avg_score,worst_score,mutation_rate
1,1.800000,-3.880400,-9.050000,0.050000
2,3.850000,-0.039333,-4.200000,0.050000
3,4.450000,2.424643,-2.350000,0.050000
4,4.450000,3.830576,-0.050000,0.050000
5,4.750000,4.310870,-0.250000,0.050000
6,4.750000,4.386232,0.550000,0.050000
7,4.750000,4.607246,1.950000,0.050000
8,5.450000,4.584783,-0.250000,0.050000
9,5.450000,4.730435,0.750000,0.050000
10,5.450000,5.296377,0.850000,0.050000
11,5.450000,5.405072,2.350000,0.050000
12,5.450000,5.384783,1.150000,0.050000
13,5.450000,5.312319,2.950000,0.050000
14,5.450000,5.284058,0.950000,0.050000
15,5.450000,5.367391,1.650000,0.050000
16,5.450000,5.360870,1.650000,0.050000
17,6.550000,5.363768,2.250000,0.050000
18,6.550000,5.640580,4.250000,0.050000
19,6.850000,6.460870,2.950000,0.050000
20,6.850000,6.542029,5.050000,0.050000
21,6.850000,6.799275,3.850000,0.050000
22,6.850000,6.730435,2.350000,0.050000
23,6.850000,6.752174,3.650000,0.050000
24,6.850000,6.757246,2.250000,0.050000
25,7.250000,6.776087,2.350000,0.050000
26,7.250000,6.816667,4.050000,0.050000
27,7.250000,7.113043,2.250000,0.025000
28,7.250000,7.167391,3.350000,0.025000
29,7.250000,7.226812,4.050000,0.025000
30,7.250000,7.207971,4.250000,0.025000
31,7.250000,7.232609,4.850000,0.025000
32,7.250000,7.194203,2.650000,0.025000
33,7.250000,7.235507,5.450000,0.012500
34,7.250000,7.192029,2.950000,0.012500
35,7.250000,7.236232,5.350000,0.012500
36,7.250000,7.182609,3.750000,0.012500
37,7.250000,7.157246,3.650000,0.012500
38,7.250000,7.224638,5.150000,0.006250
39,7.250000,7.250000,7.250000,0.006250
40,7.250000,7.250000,7.250000,0.006250
41,7.250000,7.250000,7.250000,0.006250
42,7.250000,7.250000,7.250000,0.006250
43,7.250000,7.250000,7.250000,0.003125
44,7.250000,7.250000,7.250000,0.003125
45,7.250000,7.250000,7.250000,0.003125
46,7.250000,7.250000,7.250000,0.003125
47,7.250000,7.219565,3.050000,0.003125
48,7.250000,7.250000,7.250000,0.001563
49,7.250000,7.250000,7.250000,0.001563
50,7.250000,7.236957,5.450000,0.001563
51,7.250000,7.250000,7.250000,0.001563
52,7.250000,7.250000,7.250000,0.001563
53,7.250000,7.243478,6.350000,0.001000
54,7.250000,7.250000,7.250000,0.001000
55,7.250000,7.250000,7.250000,0.001000
56,7.250000,7.250000,7.250000,0.001000
57,7.250000,7.250000,7.250000,0.001000
58,7.250000,7.250000,7.250000,0.001000
59,7.250000,7.250000,7.250000,0.001000
60,7.250000,7.250000,7.250000,0.001000
61,7.250000,7.250000,7.250000,0.001000
62,7.250000,7.250000,7.250000,0.001000
63,7.850000,7.254348,7.250000,0.001000
64,7.850000,7.336957,7.250000,0.001000
65,7.850000,7.850000,7.850000,0.001000
66,7.850000,7.820290,3.750000,0.001000
67,7.850000,7.850000,7.850000,0.001000
68,7.850000,7.850000,7.850000,0.001000
69,7.850000,7.850000,7.850000,0.001000
70,7.850000,7.850000,7.850000,0.001000
71,7.850000,7.850000,7.850000,0.001000
72,7.850000,7.850000,7.850000,0.001000
73,7.850000,7.850000,7.850000,0.001000
74,7.850000,7.850000,7.850000,0.001000
75,7.850000,7.850000,7.850000,0.001000
76,7.850000,7.850000,7.850000,0.001000
77,7.850000,7.850000,7.850000,0.001000
78,7.850000,7.850000,7.850000,0.001000
79,7.850000,7.850000,7.850000,0.001000
80,7.850000,7.850000,7.850000,0.001000
81,7.850000,7.850000,7.850000,0.001000
82,7.850000,7.850000,7.850000,0.001000
83,7.850000,7.850000,7.850000,0.001000
84,7.850000,7.850000,7.850000,0.001000
85,7.850000,7.850000,7.850000,0.001000
86,7.850000,7.850000,7.850000,0.001000
87,7.850000,7.850000,7.850000,0.001000
88,7.850000,7.850000,7.850000,0.001000
89,7.850000,7.850000,7.850000,0.001000
90,7.850000,7.850000,7.850000,0.001000
91,7.850000,7.850000,7.850000,0.001000
92,7.850000,7.850000,7.850000,0.001000
93,7.850000,7.850000,7.850000,0.001000
94,7.850000,7.850000,7.850000,0.001000
95,7.850000,7.834058,5.650000,0.001000
96,7.850000,7.850000,7.850000,0.001000
97,7.850000,7.850000,7.850000,0.001000
98,7.850000,7.850000,7.850000,0.001000
99,7.850000,7.850000,7.850000,0.001000
100,7.850000,7.850000,7.850000,0.001000
